good,dirty,wait,lastyear,usa
0,0,5.56,2,1
1,0,0.73,1,1
0,0,1.23,1,1
1,0,1.48,1,1
1,0,0.98,4,1
0,1,5.03,2,1
1,0,5.49,2,1
1,0,4.84,2,1
0,0,1.48,1,1
1,0,3.09,2,1
1,0,5.49,3,1
1,0,1.23,15,1
1,0,1.48,1,1
1,1,5.49,2,1
0,0,1.81,1,1
0,0,1.48,2,1
1,0,5.03,1,1
0,0,0.73,2,1
1,0,5.21,2,1
1,0,5.49,1,1
0,0,3.03,8,1
1,0,1.14,2,1
1,0,1.14,1,1
1,0,0.89,5,1
1,0,1.39,1,1
1,0,1.48,1,1
1,0,1.66,1,1
1,0,1.14,1,1
1,0,5.66,6,1
1,0,5.66,2,1
0,0,5.66,4,1
1,0,5.33,3,1
0,0,3.34,2,1
1,0,1.73,1,1
0,0,4.84,2,1
1,0,1.73,1,1
1,0,2.14,3,1
1,0,1.23,1,1
1,0,0.73,8,1
0,0,1.73,1,1
1,0,1.23,2,1
1,0,1.23,7,1
1,0,5.61,8,1
0,0,1.23,1,1
1,0,0.73,2,1
1,0,0.98,1,1
1,0,3.49,1,1
0,0,5.49,1,1
1,0,0.73,1,1
0,0,5.21,1,1
0,0,5.21,4,1
0,0,2.58,5,1
1,0,5.49,6,1
1,0,2.54,3,0
1,0,1.19,1,0
0,0,5.71,1,0
0,0,5.38,1,0
0,0,5.14,1,0
0,0,1.19,1,0
0,0,1.03,1,0
1,0,1.53,2,0
0,0,5.74,1,0
1,0,1.44,2,1
0,0,5.14,2,1
1,0,1.93,2,1
0,0,1.44,2,1
0,0,1.36,8,1
0,0,1.36,4,1
1,0,2.71,1,1
1,0,5.46,1,1
0,0,0.78,4,1
1,0,1.48,2,0
0,0,1.48,2,0
1,0,1.96,2,0
1,0,1.96,1,0
0,0,2.78,1,0
1,0,1.23,5,0
1,0,5.49,4,0
1,0,5.66,1,0
1,0,2.96,0,0
1,0,2.78,1,0
0,0,1.48,11,0
0,0,2.36,1,0
0,0,1.23,2,0
1,0,1.96,1,0
1,0,1.14,1,0
0,0,5.36,2,0
1,0,2.78,1,0
0,0,0.73,19,0
0,0,5.49,4,0
0,0,1.48,1,0
0,0,0.98,2,0
0,4,1.48,1,0
1,0,1.48,2,0
1,0,1.14,4,0
1,0,2.06,1,0
1,0,1.88,1,0
0,0,2.06,1,0
0,1,2.51,2,0
1,0,1.66,1,0
1,0,2.88,3,0
1,0,0.98,4,0
0,0,0.98,3,0
0,0,1.14,1,0
0,0,1.06,1,0
0,0,2.51,1,0
1,0,1.66,1,0
1,0,2.88,1,0
1,0,0.89,7,0
1,0,1.66,6,0
1,1,1.99,1,0
1,0,1.14,3,0
0,0,5.74,1,0
0,0,5.74,1,0
1,0,5.74,4,0
1,0,5.74,1,0
1,0,5.74,0,0
1,0,1.96,1,0
0,0,1.88,4,0
1,0,0.89,1,0
1,0,3.31,1,0
0,0,3.31,1,0
1,0,1.88,2,0
1,0,2.29,1,0
1,0,3.31,1,0
0,0,3.03,3,0
1,0,1.06,3,0
1,0,2.58,2,0
1,0,3.03,1,0
0,0,1.06,4,0
0,0,3.56,5,0
1,0,3.51,1,0
0,2,5.74,1,0
1,0,5.74,1,0
0,0,5.74,1,0
1,0,5.74,1,0
0,0,5.74,1,0
1,0,5.74,2,0
1,0,2.43,1,0
1,0,1.79,2,0
1,0,2.64,2,0
1,0,3.24,1,0
1,0,1.58,2,0
0,0,1.31,4,0
1,0,3.09,3,0
1,0,1.31,1,0
1,0,1.79,4,0
0,0,2.93,5,0
0,0,1.79,49,0
0,0,1.79,1,0
1,0,2.81,0,0
1,0,2.36,1,0
0,0,3.51,1,0
1,0,1.06,1,0
1,0,1.99,1,0
1,0,0.81,1,0
1,0,3.79,1,0
0,0,1.31,2,0
1,0,1.79,5,0
1,0,1.86,2,1
0,0,5.03,1,1
0,0,1.31,2,1
1,0,5.58,1,1
1,0,2.58,3,1
1,0,5.41,8,1
1,0,1.66,10,1
1,0,0.89,1,1
0,0,1.39,2,1
1,0,0.89,2,1
0,0,1.88,0,1
0,1,1.39,1,1
0,0,5.41,1,1
0,0,5.41,1,1
1,0,0.89,9,1
1,0,0.89,1,1
1,0,1.66,1,1
0,0,5.21,4,1
0,0,5.21,9,1
0,0,5.33,2,1
0,0,5.74,1,1
1,1,4.84,9,1
0,0,0.81,5,1
1,0,0.81,3,1
0,0,1.58,2,1
0,0,5.41,1,1
0,0,5.58,3,1
0,0,1.58,9,1
1,0,4.84,4,1
1,0,1.56,1,1
1,0,4.84,1,1
0,0,4.24,1,1
1,0,4.24,1,1
0,0,3.39,10,1
1,0,1.58,1,1
1,0,1.58,1,1
